Slice,Area_mm2
1,256.8626403808594
2,351.25732421875
3,367.28858947753906
4,397.6631164550781
5,469.3317413330078
6,406.2366485595703
7,321.7124938964844
8,287.79029846191406
9,287.5709533691406
10,295.9728240966797
11,299.4728088378906
12,304.80384826660156
13,316.45774841308594
14,360.63194274902344
15,443.27735900878906
16,488.1095886230469
17,428.93409729003906
18,313.6634826660156
19,217.4091339111328
20,86.5936279296875
