Slice,Area_mm2
1,3.0612945556640625
2,0.457763671875
3,2.2220611572265625
4,3.0422210693359375
5,3.85284423828125
6,8.563995361328125
7,21.076202392578125
8,44.498443603515625
9,91.11404418945312
10,137.56752014160156
11,178.27987670898438
12,205.13534545898438
13,228.13796997070312
14,243.0438995361328
15,239.9730682373047
16,223.71292114257812
17,192.24166870117188
18,184.3738555908203
19,0.0
20,3.7860870361328125
21,11.358261108398438
22,0.0
23,0.0
24,0.0
